,ARIMA Forecast Average Mid-Price,Actual Mid-Price,ARIMA Forecast Average Bid-Ask Spread,Actual Bid-Ask Spread,RSI,True Trading Signals,ARIMA Trading Signal
6476,134.3209247341486,127.88,55.44451170258026,38.87,127.88,Buy,Hold
6477,137.017803339685,140.14,55.86172717784088,60.61,140.14,Sell,Hold
6478,136.37740757816582,122.96,53.730273376217994,27.36,122.96,Buy,Hold
6479,135.00112129285645,132.1,51.773626593784535,45.58,132.1,Hold,Hold
6480,136.38122663825325,141.0,52.01820011288645,64.44,141.0,Hold,Hold
6481,136.14830658977326,136.91,52.728854225288025,58.56,136.91,Hold,Hold
6482,135.95384948101994,131.71,51.89338626641675,43.85,131.71,Hold,Hold
6483,135.49726718692787,132.83,51.58924109961059,48.72,132.83,Hold,Hold
6484,133.77252114979075,153.51,49.239296861599,91.52,153.51,Sell,Hold
6485,135.0447564624955,131.22,53.14716996831645,47.4,131.22,Buy,Hold
6486,136.1941624999277,129.8,53.36483375432632,41.88,129.8,Hold,Hold
6487,134.39216874351342,132.42,54.2113252816794,48.73,132.42,Hold,Hold
6488,135.10451916634133,144.94,55.25550749111635,72.86,144.94,Sell,Hold
6489,135.7088415657178,136.69,55.79831012802989,54.06,136.69,Buy,Hold
6490,138.67216056072306,140.83,61.44386758774074,63.47,140.83,Hold,Hold
6491,137.67362102885372,139.36,54.10361023181618,62.4,139.36,Hold,Hold
6492,139.00367534285834,140.16,57.662474705401564,63.78,140.16,Hold,Hold
6493,139.92566399455538,142.39,63.20663184614686,65.19,142.39,Sell,Hold
6494,139.84299955694058,131.35,61.03433122031714,46.54,131.35,Buy,Hold
6495,139.84279997790463,144.59,61.05303184581536,70.94,144.59,Sell,Hold
6496,140.48918392020028,136.49,61.94752175932949,54.55,136.49,Hold,Hold
6497,139.46552911552857,127.21,55.07668359911558,36.28,127.21,Buy,Hold
6498,123.00188053804803,124.25,54.97217609496933,29.07,124.25,Hold,Hold
6499,136.6490982330939,135.64,56.219398178079395,55.63,135.64,Hold,Hold
6500,122.92454554638259,123.46,50.024712721167184,35.78,123.46,Hold,Hold
